unit_type,loc
Trazyn The Infinite,G7
Illuminor Szeras,G7
Technomancer,G7
Lychgaurd,G7
Skorpekh Destroyers,G7
Canoptek Plasmacyte,G7
Immortals,G7
Canoptek Spyders,G7
Canoptek Spyders,G7
Cryptothralls,G7
Cryptothralls,G7
Canoptek Scarab Swarms,G7
Canoptek Wraiths,G7
Deathmarks,G7
Night Scythe,G7
Overlord,G7
Royal Warden,G7
Necron Warriors,G7
Immortals,G7
Canoptek Scarab Swarms,G7
Canoptek Scarab Swarms,G7
Night Scythe,G7
Overlord,G7
Royal Warden,G7
Immortals,G7
Necron Warriors,G7
Canoptek Scarab Swarms,G7
Canoptek Scarab Swarms,G7
