player,loc,unit_id,unit_type,action,unit_name,passing_through
chris,A4,6,tyranid_warriors,move,Destiny Mccoy,FALSE
chris,A5,13,ripper_swarms,move,Sergio Franco,FALSE
chris,B1,1,flying_hive_tryant,move,Daft Punk Featuring Pharrell Williams & Nile Rodgers,FALSE
chris,B1,12,hormagaunts,move,Serenity Harrison,FALSE
chris,B1,23,biovores,move,Brayden Gregory,FALSE
chris,B10,9,genestealers,control,Steven Epstein,FALSE
chris,B11,15,ripper_swarms,control,Jean Jacques Rousseau,FALSE
chris,B2,8,tyranid_warriors,move,Aubree Mccarthy,FALSE
chris,B3,21,gargoyles,move,Samuel L Jackson,FALSE
chris,B5,5,neurothrope,move,Vizual Ambassador,FALSE
chris,B5,16,hive_guard,move,Aaron Hoffman,FALSE
chris,B5,25,tyrannocyte,move,Robert Downey Pham,FALSE
big_grizz,B6,1,ravenwing_talonmaster,move,Drunken Deck,FALSE
big_grizz,B6,10,ravenwing_bike_squad,move,Andy Serkis,FALSE
big_grizz,B6,11,ravenwing_attack_bike,move,Benedict Cumberbatch,FALSE
big_grizz,B6,12,ravenwing_attack_bike,move,Gwyneth Paltrow,FALSE
big_grizz,B6,16,ravenwing_apothecary,move,John Ratzenberger,FALSE
chris,B6,7,tyranid_warriors,control,Roman Maxwell,FALSE
chris,B6,4,broodlord,move,Judith Sherman,FALSE
chris,B6,22,exocrine,move,Lydia Lane,FALSE
chris,B8,11,termagants,control,Taylor Caldwell,FALSE
big_grizz,C1,1,ravenwing_talonmaster,move,Drunken Deck,TRUE
big_grizz,C1,10,ravenwing_bike_squad,move,Andy Serkis,TRUE
big_grizz,C1,11,ravenwing_attack_bike,move,Benedict Cumberbatch,TRUE
big_grizz,C1,12,ravenwing_attack_bike,move,Gwyneth Paltrow,TRUE
big_grizz,C1,16,ravenwing_apothecary,move,John Ratzenberger,TRUE
big_grizz,C2,9,infiltrators,move,Grace Valencia,FALSE
big_grizz,D1,7,tactical_squad,control,Camden Hopkins,FALSE
chris,E1,14,ripper_swarms,move,Amaya Moran,FALSE
chris,E2,19,raveners,move,Ayn Rand,TRUE
chris,E2,20,gargoyles,reinforce,Mark Wahlberg,FALSE
chris,E4,3,broodlord,move,Neil Dorfsman,FALSE
chris,E4,10,genestealers,move,Walter Afanasieff,FALSE
chris,E4,24,biovores,move,Harper Steele,FALSE
eric,E4,20,canoptek_scarab_swarms,defend,Wicked Destroyer,FALSE
eric,E4,29,trap,sneak,Respected Ricky Reed,FALSE
eric,E7,7,immortals,move,Natalie Vega,FALSE
big_grizz,F1,8,tactical_squad,move,Cole Luna,FALSE
big_grizz,F1,21,eradicators,move,Jaxon Neal,FALSE
big_grizz,F1,23,rhino,move,Siddhartha Deb Moore,FALSE
big_grizz,F1,4,phobos_librarian,sneak,"Marina A. Ledin, Victor Ledin",FALSE
big_grizz,F1,15,invictor_tactical_warsuit,sneak,T Bone Burnett,FALSE
big_grizz,F1,19,vindicare_assassin,sneak,David Frost,FALSE
big_grizz,F1,20,eliminators,sneak,James Anthony Carmichael & Lionel Richie,FALSE
chris,F1,2,flying_hive_tryant,move,The Doobie Brothers,FALSE
chris,F1,17,maleceptor,move,Jake Fox,FALSE
chris,F1,18,venomthropes,move,Jayce Gross,FALSE
chris,F1,19,raveners,move,Ayn Rand,FALSE
big_grizz,F2,8,tactical_squad,move,Cole Luna,TRUE
big_grizz,F2,23,rhino,move,Siddhartha Deb Moore,TRUE
eric,F3,1,trazyn_the_infinite,move,Audrey Rosales,FALSE
eric,F3,2,illuminor_szeras,move,Victor Keller,FALSE
eric,F3,3,technomancer,move,Francis Bacon,FALSE
eric,F3,4,lychgaurd,move,Addison Manning,FALSE
eric,F3,5,skorpekh_destroyers,move,Caroline Bishop,FALSE
eric,F3,6,canoptek_plasmacyte,move,"The Chef, Criminal",FALSE
eric,F3,8,canoptek_spyders,move,Smilin’ Conqueror,FALSE
eric,F3,9,canoptek_spyders,move,Profound Menace,FALSE
eric,F3,10,cryptothralls,move,Dominic Griffith,FALSE
eric,F3,11,cryptothralls,move,Jayden Miranda,FALSE
eric,F3,12,canoptek_scarab_swarms,move,Quiet Commander,FALSE
eric,F3,13,canoptek_wraiths,move,Jeremy Renner,FALSE
big_grizz,F7,14,redemptor_dreadnought,move,Chase Espinoza,FALSE
eric,F7,27,canoptek_scarab_swarms,defend,Snakeface RZA,FALSE
eric,G5,19,immortals,move,Mateo Lin,FALSE
eric,G7,21,canoptek_scarab_swarms,regenerate,Alan Tudyk,FALSE
big_grizz,H1,5,tactical_squad,move,Michelle Cooper,FALSE
eric,H1,28,canoptek_scarab_swarms,defend,Thunderous Madman,FALSE
big_grizz,H2,2,deathwing_captain,reinforce,Alain de Benoist,FALSE
big_grizz,H5,24,trap,sneak,Gentlemen Morten Lindberg,FALSE
eric,H5,15,night_scythe,descend,Pesty Wanderer,FALSE
eric,H5,14,deathmarks,move,Danger Mouse,FALSE
eric,H5,16,overlord,move,Austin Gonzalez,FALSE
eric,H5,17,royal_warden,move,Hudson Harmon,FALSE
eric,H5,18,necron_warriors,move,Alyssa Gardner,FALSE
eric,H5,22,night_scythe,move,Arrogant Hunter,FALSE
eric,H5,23,overlord,move,Samuel Strickland,FALSE
eric,H5,24,royal_warden,move,Isabelle Marquez,FALSE
eric,H5,26,necron_warriors,move,Jade Ellis,FALSE
big_grizz,H6,6,tactical_squad,control,George Castillo,FALSE
big_grizz,H6,3,techmarine,move,Elias Mendoza,FALSE
big_grizz,H6,13,dreadnought,move,Brian Soto,FALSE
big_grizz,H6,17,deathwing_terminators,move,Theodor Adorno,FALSE
big_grizz,H6,18,deathwing_knights,move,Abraham Eraly,FALSE
big_grizz,H6,22,storm_raven,move,Foolish Magician,FALSE
eric,I1,25,immortals,move,Joseph Ramirez,FALSE
