player,loc,unit_id,unit_type,action,unit_name,passing_through
chris,A2,13,ripper_swarms,control,Sergio Franco,FALSE
chris,A3,7,tyranid_warriors,control,Roman Maxwell,FALSE
chris,A3,8,tyranid_warriors,control,Aubree Mccarthy,FALSE
chris,A4,6,tyranid_warriors,move,Destiny Mccoy,FALSE
chris,A5,16,hive_guard,control,Aaron Hoffman,FALSE
chris,A5,25,tyrannocyte,control,Robert Downey Pham,FALSE
chris,A6,14,ripper_swarms,control,Amaya Moran,FALSE
chris,A7,9,genestealers,control,Steven Epstein,FALSE
chris,A8,1,flying_hive_tryant,move,Daft Punk Featuring Pharrell Williams & Nile Rodgers,FALSE
chris,A8,10,genestealers,move,Walter Afanasieff,FALSE
chris,A8,24,biovores,move,Harper Steele,FALSE
chris,B2,5,neurothrope,move,Vizual Ambassador,FALSE
chris,B2,12,hormagaunts,move,Serenity Harrison,FALSE
chris,B2,23,biovores,move,Brayden Gregory,FALSE
big_grizz,B4,1,ravenwing_talonmaster,move,Drunken Deck,FALSE
big_grizz,B4,10,ravenwing_bike_squad,move,Andy Serkis,FALSE
big_grizz,B4,11,ravenwing_attack_bike,move,Benedict Cumberbatch,FALSE
big_grizz,B4,12,ravenwing_attack_bike,move,Gwyneth Paltrow,FALSE
big_grizz,B4,16,ravenwing_apothecary,move,John Ratzenberger,FALSE
chris,B6,21,gargoyles,move,Samuel L Jackson,FALSE
chris,B7,11,termagants,move,Taylor Caldwell,FALSE
chris,B8,4,broodlord,move,Judith Sherman,FALSE
chris,B9,3,broodlord,move,Neil Dorfsman,FALSE
chris,B9,15,ripper_swarms,move,Jean Jacques Rousseau,FALSE
chris,B9,17,maleceptor,move,Jake Fox,FALSE
chris,B9,18,venomthropes,move,Jayce Gross,FALSE
chris,B9,22,exocrine,move,Lydia Lane,FALSE
big_grizz,C5,8,tactical_squad,control,Cole Luna,FALSE
big_grizz,C5,23,rhino,control,Siddhartha Deb Moore,FALSE
big_grizz,C5,14,redemptor_dreadnought,move,Chase Espinoza,FALSE
big_grizz,C5,15,invictor_tactical_warsuit,move,T Bone Burnett,FALSE
big_grizz,C5,19,vindicare_assassin,move,David Frost,FALSE
big_grizz,C5,20,eliminators,move,James Anthony Carmichael & Lionel Richie,FALSE
big_grizz,C5,21,eradicators,move,Jaxon Neal,FALSE
big_grizz,D2,7,tactical_squad,move,Camden Hopkins,FALSE
big_grizz,D4,2,deathwing_captain,control,Alain de Benoist,FALSE
big_grizz,D4,4,phobos_librarian,control,"Marina A. Ledin, Victor Ledin",FALSE
big_grizz,D4,17,deathwing_terminators,control,Theodor Adorno,FALSE
big_grizz,D4,18,deathwing_knights,control,Abraham Eraly,FALSE
chris,E1,2,flying_hive_tryant,move,The Doobie Brothers,FALSE
chris,E1,19,raveners,move,Ayn Rand,FALSE
chris,E2,20,gargoyles,move,Mark Wahlberg,FALSE
eric,E3,20,canoptek_scarab_swarms,move,Wicked Destroyer,FALSE
eric,E5,1,trazyn_the_infinite,move,Audrey Rosales,FALSE
eric,E5,2,illuminor_szeras,move,Victor Keller,FALSE
eric,E5,3,technomancer,move,Francis Bacon,FALSE
eric,E5,4,lychgaurd,move,Addison Manning,FALSE
eric,E5,5,skorpekh_destroyers,move,Caroline Bishop,FALSE
eric,E5,6,canoptek_plasmacyte,move,"The Chef, Criminal",FALSE
eric,E5,8,canoptek_spyders,move,Smilin’ Conqueror,FALSE
eric,E5,9,canoptek_spyders,move,Profound Menace,FALSE
eric,E5,10,cryptothralls,move,Dominic Griffith,FALSE
eric,E5,11,cryptothralls,move,Jayden Miranda,FALSE
eric,E5,13,canoptek_wraiths,move,Jeremy Renner,FALSE
eric,E5,14,deathmarks,move,Danger Mouse,FALSE
eric,E7,7,immortals,move,Natalie Vega,FALSE
eric,F2,12,canoptek_scarab_swarms,move,Quiet Commander,FALSE
big_grizz,F5,9,infiltrators,control,Grace Valencia,FALSE
eric,F8,27,canoptek_scarab_swarms,move,Snakeface RZA,FALSE
eric,G6,19,immortals,control,Mateo Lin,FALSE
eric,G8,25,immortals,control,Joseph Ramirez,FALSE
big_grizz,H2,3,techmarine,control,Elias Mendoza,FALSE
big_grizz,H2,5,tactical_squad,control,Michelle Cooper,FALSE
big_grizz,H2,13,dreadnought,control,Brian Soto,FALSE
big_grizz,H2,22,storm_raven,control,Foolish Magician,FALSE
eric,H3,22,night_scythe,move,Arrogant Hunter,FALSE
eric,H3,23,overlord,move,Samuel Strickland,FALSE
eric,H3,24,royal_warden,move,Isabelle Marquez,FALSE
eric,H3,26,necron_warriors,move,Jade Ellis,FALSE
eric,H3,28,canoptek_scarab_swarms,move,Thunderous Madman,FALSE
big_grizz,H5,6,tactical_squad,move,George Castillo,FALSE
eric,I3,17,royal_warden,control,Hudson Harmon,FALSE
eric,I4,15,night_scythe,move,Pesty Wanderer,FALSE
eric,I4,16,overlord,move,Austin Gonzalez,FALSE
eric,I4,18,necron_warriors,move,Alyssa Gardner,FALSE
eric,NA,21,canoptek_scarab_swarms,NA,Alan Tudyk,FALSE
